inventory_id,item_name,category,sales_date,quantity_sold,unit_price,total_sales,code
11,Syringe 3mL (sterile),Required Items,02/01/2025,3,5,15,INV-011
12,Needle 23G / 25G (sterile),Required Items,02/01/2025,7,10,70,INV-012
13,IV catheter (22G / 24G),Required Items,02/01/2025,25,50,1250,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,02/01/2025,24,250,6000,INV-014
15,Gauze pads (sterile packs),Required Items,02/01/2025,22,5,110,INV-015
16,Cotton balls / cotton rolls,Required Items,02/01/2025,7,120,840,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,02/01/2025,10,180,1800,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,02/01/2025,0,350,0,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,02/01/2025,6,320,1920,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,02/01/2025,0,450,0,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,02/01/2025,0,300,0,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,02/01/2025,0,200,0,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,02/01/2025,0,280,0,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,02/01/2025,0,300,0,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,02/01/2025,0,650,0,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,02/01/2025,0,800,0,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,02/01/2025,0,650,0,INV-027
28,Drontal,Preventive Care Supplies,02/01/2025,0,100,0,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,03/01/2025,0,50,0,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,03/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,03/01/2025,0,300,0,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,03/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,03/01/2025,5,300,1500,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,03/01/2025,0,90,0,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,03/01/2025,0,200,0,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,03/01/2025,0,900,0,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,03/01/2025,4,550,2200,INV-009
10,Syringe 1mL (sterile),Required Items,03/01/2025,18,5,90,INV-010
11,Syringe 3mL (sterile),Required Items,03/01/2025,18,5,90,INV-011
12,Needle 23G / 25G (sterile),Required Items,03/01/2025,20,10,200,INV-012
13,IV catheter (22G / 24G),Required Items,03/01/2025,4,50,200,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,03/01/2025,0,250,0,INV-014
15,Gauze pads (sterile packs),Required Items,03/01/2025,6,5,30,INV-015
16,Cotton balls / cotton rolls,Required Items,03/01/2025,25,120,3000,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,03/01/2025,19,180,3420,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,03/01/2025,2,350,700,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,03/01/2025,0,320,0,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,03/01/2025,0,450,0,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,03/01/2025,0,300,0,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,03/01/2025,3,200,600,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,03/01/2025,0,280,0,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,03/01/2025,0,300,0,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,03/01/2025,0,650,0,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,03/01/2025,0,800,0,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,03/01/2025,1,650,650,INV-027
28,Drontal,Preventive Care Supplies,03/01/2025,4,100,400,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,04/01/2025,2,50,100,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,04/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,04/01/2025,0,300,0,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,04/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,04/01/2025,0,300,0,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,04/01/2025,0,90,0,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,04/01/2025,0,200,0,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,04/01/2025,6,900,5400,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,04/01/2025,0,550,0,INV-009
10,Syringe 1mL (sterile),Required Items,04/01/2025,18,5,90,INV-010
11,Syringe 3mL (sterile),Required Items,04/01/2025,7,5,35,INV-011
12,Needle 23G / 25G (sterile),Required Items,04/01/2025,18,10,180,INV-012
13,IV catheter (22G / 24G),Required Items,04/01/2025,22,50,1100,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,04/01/2025,0,250,0,INV-014
15,Gauze pads (sterile packs),Required Items,04/01/2025,5,5,25,INV-015
16,Cotton balls / cotton rolls,Required Items,04/01/2025,8,120,960,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,04/01/2025,0,180,0,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,04/01/2025,0,350,0,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,04/01/2025,0,320,0,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,04/01/2025,4,450,1800,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,04/01/2025,0,300,0,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,04/01/2025,2,200,400,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,04/01/2025,0,280,0,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,04/01/2025,0,300,0,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,04/01/2025,0,650,0,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,04/01/2025,3,800,2400,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,04/01/2025,0,650,0,INV-027
28,Drontal,Preventive Care Supplies,04/01/2025,0,100,0,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,05/01/2025,0,50,0,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,05/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,05/01/2025,0,300,0,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,05/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,05/01/2025,0,300,0,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,05/01/2025,0,90,0,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,05/01/2025,0,200,0,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,05/01/2025,0,900,0,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,05/01/2025,0,550,0,INV-009
10,Syringe 1mL (sterile),Required Items,05/01/2025,0,5,0,INV-010
11,Syringe 3mL (sterile),Required Items,05/01/2025,0,5,0,INV-011
12,Needle 23G / 25G (sterile),Required Items,05/01/2025,0,10,0,INV-012
13,IV catheter (22G / 24G),Required Items,05/01/2025,0,50,0,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,05/01/2025,0,250,0,INV-014
15,Gauze pads (sterile packs),Required Items,05/01/2025,0,5,0,INV-015
16,Cotton balls / cotton rolls,Required Items,05/01/2025,18,120,2160,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,05/01/2025,16,180,2880,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,05/01/2025,3,350,1050,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,05/01/2025,0,320,0,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,05/01/2025,0,450,0,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,05/01/2025,0,300,0,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,05/01/2025,0,200,0,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,05/01/2025,0,280,0,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,05/01/2025,0,300,0,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,05/01/2025,0,650,0,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,05/01/2025,0,800,0,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,05/01/2025,0,650,0,INV-027
28,Drontal,Preventive Care Supplies,05/01/2025,0,100,0,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,06/01/2025,3,50,150,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,06/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,06/01/2025,0,300,0,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,06/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,06/01/2025,0,300,0,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,06/01/2025,0,90,0,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,06/01/2025,3,200,600,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,06/01/2025,8,900,7200,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,06/01/2025,0,550,0,INV-009
10,Syringe 1mL (sterile),Required Items,06/01/2025,19,5,95,INV-010
11,Syringe 3mL (sterile),Required Items,06/01/2025,6,5,30,INV-011
12,Needle 23G / 25G (sterile),Required Items,06/01/2025,0,10,0,INV-012
13,IV catheter (22G / 24G),Required Items,06/01/2025,5,50,250,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,06/01/2025,0,250,0,INV-014
15,Gauze pads (sterile packs),Required Items,06/01/2025,16,5,80,INV-015
16,Cotton balls / cotton rolls,Required Items,06/01/2025,24,120,2880,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,06/01/2025,3,180,540,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,06/01/2025,0,350,0,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,06/01/2025,5,320,1600,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,06/01/2025,0,450,0,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,06/01/2025,0,300,0,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,06/01/2025,5,200,1000,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,06/01/2025,0,280,0,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,06/01/2025,0,300,0,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,06/01/2025,0,650,0,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,06/01/2025,0,800,0,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,06/01/2025,0,650,0,INV-027
28,Drontal,Preventive Care Supplies,06/01/2025,5,100,500,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,07/01/2025,4,50,200,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,07/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,07/01/2025,0,300,0,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,07/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,07/01/2025,0,300,0,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,07/01/2025,2,90,180,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,07/01/2025,0,200,0,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,07/01/2025,2,900,1800,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,07/01/2025,6,550,3300,INV-009
10,Syringe 1mL (sterile),Required Items,07/01/2025,11,5,55,INV-010
11,Syringe 3mL (sterile),Required Items,07/01/2025,16,5,80,INV-011
12,Needle 23G / 25G (sterile),Required Items,07/01/2025,0,10,0,INV-012
13,IV catheter (22G / 24G),Required Items,07/01/2025,0,50,0,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,07/01/2025,3,250,750,INV-014
15,Gauze pads (sterile packs),Required Items,07/01/2025,10,5,50,INV-015
16,Cotton balls / cotton rolls,Required Items,07/01/2025,6,120,720,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,07/01/2025,20,180,3600,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,07/01/2025,0,350,0,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,07/01/2025,0,320,0,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,07/01/2025,0,450,0,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,07/01/2025,0,300,0,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,07/01/2025,0,200,0,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,07/01/2025,0,280,0,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,07/01/2025,0,300,0,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,07/01/2025,0,650,0,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,07/01/2025,0,800,0,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,07/01/2025,0,650,0,INV-027
28,Drontal,Preventive Care Supplies,07/01/2025,0,100,0,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,08/01/2025,0,50,0,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,08/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,08/01/2025,0,300,0,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,08/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,08/01/2025,0,300,0,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,08/01/2025,0,90,0,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,08/01/2025,7,200,1400,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,08/01/2025,0,900,0,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,08/01/2025,6,550,3300,INV-009
10,Syringe 1mL (sterile),Required Items,08/01/2025,6,5,30,INV-010
11,Syringe 3mL (sterile),Required Items,08/01/2025,16,5,80,INV-011
12,Needle 23G / 25G (sterile),Required Items,08/01/2025,3,10,30,INV-012
13,IV catheter (22G / 24G),Required Items,08/01/2025,13,50,650,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,08/01/2025,4,250,1000,INV-014
15,Gauze pads (sterile packs),Required Items,08/01/2025,6,5,30,INV-015
16,Cotton balls / cotton rolls,Required Items,08/01/2025,6,120,720,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,08/01/2025,7,180,1260,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,08/01/2025,0,350,0,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,08/01/2025,0,320,0,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,08/01/2025,0,450,0,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,08/01/2025,4,300,1200,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,08/01/2025,0,200,0,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,08/01/2025,0,280,0,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,08/01/2025,0,300,0,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,08/01/2025,0,650,0,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,08/01/2025,0,800,0,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,08/01/2025,0,650,0,INV-027
28,Drontal,Preventive Care Supplies,08/01/2025,5,100,500,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,09/01/2025,0,50,0,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,09/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,09/01/2025,0,300,0,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,09/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,09/01/2025,0,300,0,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,09/01/2025,13,90,1170,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,09/01/2025,0,200,0,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,09/01/2025,4,900,3600,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,09/01/2025,0,550,0,INV-009
10,Syringe 1mL (sterile),Required Items,09/01/2025,36,5,180,INV-010
11,Syringe 3mL (sterile),Required Items,09/01/2025,35,5,175,INV-011
12,Needle 23G / 25G (sterile),Required Items,09/01/2025,46,10,460,INV-012
13,IV catheter (22G / 24G),Required Items,09/01/2025,17,50,850,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,09/01/2025,0,250,0,INV-014
15,Gauze pads (sterile packs),Required Items,09/01/2025,14,5,70,INV-015
16,Cotton balls / cotton rolls,Required Items,09/01/2025,0,120,0,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,09/01/2025,28,180,5040,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,09/01/2025,5,350,1750,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,09/01/2025,5,320,1600,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,09/01/2025,0,450,0,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,09/01/2025,0,300,0,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,09/01/2025,0,200,0,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,09/01/2025,0,280,0,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,09/01/2025,0,300,0,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,09/01/2025,6,650,3900,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,09/01/2025,0,800,0,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,09/01/2025,0,650,0,INV-027
28,Drontal,Preventive Care Supplies,09/01/2025,0,100,0,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,10/01/2025,0,50,0,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,10/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,10/01/2025,3,300,900,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,10/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,10/01/2025,0,300,0,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,10/01/2025,0,90,0,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,10/01/2025,1,200,200,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,10/01/2025,0,900,0,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,10/01/2025,0,550,0,INV-009
10,Syringe 1mL (sterile),Required Items,10/01/2025,12,5,60,INV-010
11,Syringe 3mL (sterile),Required Items,10/01/2025,15,5,75,INV-011
12,Needle 23G / 25G (sterile),Required Items,10/01/2025,19,10,190,INV-012
13,IV catheter (22G / 24G),Required Items,10/01/2025,24,50,1200,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,10/01/2025,19,250,4750,INV-014
15,Gauze pads (sterile packs),Required Items,10/01/2025,7,5,35,INV-015
16,Cotton balls / cotton rolls,Required Items,10/01/2025,13,120,1560,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,10/01/2025,12,180,2160,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,10/01/2025,5,350,1750,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,10/01/2025,0,320,0,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,10/01/2025,3,450,1350,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,10/01/2025,3,300,900,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,10/01/2025,0,200,0,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,10/01/2025,0,280,0,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,10/01/2025,0,300,0,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,10/01/2025,0,650,0,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,10/01/2025,5,800,4000,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,10/01/2025,0,650,0,INV-027
28,Drontal,Preventive Care Supplies,10/01/2025,0,100,0,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,11/01/2025,0,50,0,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,11/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,11/01/2025,0,300,0,INV-003
