date,visits,revenue,stock_level,is_holiday,month,day_name
2024-04-30,10,13380,571,0,4,Tuesday
2024-05-01,10,7710,566,0,5,Wednesday
2024-05-02,9,8505,563,0,5,Thursday
2024-05-03,9,9009,560,0,5,Friday
2024-05-04,11,6589,555,0,5,Saturday
2024-05-05,11,11165,551,0,5,Sunday
2024-05-06,8,11808,548,0,5,Monday
2024-05-07,7,9653,545,0,5,Tuesday
2024-05-08,7,6608,542,0,5,Wednesday
2024-05-09,7,9555,540,0,5,Thursday
2024-05-10,8,6824,537,0,5,Friday
2024-05-11,13,6916,531,0,5,Saturday
2024-05-12,14,20608,525,0,5,Sunday
2024-05-13,8,9104,521,0,5,Monday
2024-05-14,7,10192,519,0,5,Tuesday
2024-05-15,6,4236,516,0,5,Wednesday
2024-05-16,8,4088,512,0,5,Thursday
2024-05-17,7,9485,510,0,5,Friday
2024-05-18,12,14400,505,0,5,Saturday
2024-05-19,12,14568,501,0,5,Sunday
2024-05-20,8,7464,497,0,5,Monday
2024-05-21,10,7460,493,0,5,Tuesday
2024-05-22,10,14000,488,0,5,Wednesday
2024-05-23,10,10360,483,0,5,Thursday
2024-05-24,9,8685,480,0,5,Friday
2024-05-25,14,17318,474,0,5,Saturday
2024-05-26,11,7271,470,0,5,Sunday
2024-05-27,7,6580,468,0,5,Monday
2024-05-28,6,3630,466,0,5,Tuesday
2024-05-29,8,6576,463,0,5,Wednesday
2024-05-30,10,10920,459,0,5,Thursday
2024-05-31,8,5120,456,0,5,Friday
2024-06-01,13,9308,450,0,6,Saturday
2024-06-02,12,14292,445,0,6,Sunday
2024-06-03,12,16860,440,0,6,Monday
2024-06-04,7,9429,437,0,6,Tuesday
2024-06-05,11,9823,432,0,6,Wednesday
2024-06-06,9,6966,428,0,6,Thursday
2024-06-07,7,8890,426,0,6,Friday
2024-06-08,11,11990,421,0,6,Saturday
2024-06-09,14,15610,416,0,6,Sunday
2024-06-10,11,7447,412,0,6,Monday
2024-06-11,9,9585,408,0,6,Tuesday
2024-06-12,11,5566,404,0,6,Wednesday
2024-06-13,8,11712,400,0,6,Thursday
2024-06-14,10,12770,396,0,6,Friday
2024-06-15,14,20076,390,0,6,Saturday
2024-06-16,15,21795,384,0,6,Sunday
2024-06-17,9,7578,380,0,6,Monday
2024-06-18,7,4102,378,0,6,Tuesday
2024-06-19,11,12188,373,0,6,Wednesday
2024-06-20,11,16115,369,0,6,Thursday
2024-06-21,10,13340,364,0,6,Friday
2024-06-22,11,11506,359,0,6,Saturday
2024-06-23,13,14157,353,0,6,Sunday
2024-06-24,9,8082,349,0,6,Monday
2024-06-25,10,6340,344,0,6,Tuesday
2024-06-26,10,6280,340,0,6,Wednesday
2024-06-27,11,8184,336,0,6,Thursday
2024-06-28,8,5072,332,0,6,Friday
2024-06-29,13,17251,326,0,6,Saturday
2024-06-30,14,20594,320,0,6,Sunday
2024-07-01,12,13164,316,0,7,Monday
2024-07-02,11,6842,311,0,7,Tuesday
2024-07-03,10,11540,307,0,7,Wednesday
2024-07-04,10,8280,303,0,7,Thursday
2024-07-05,9,12726,300,0,7,Friday
2024-07-06,15,7785,294,0,7,Saturday
2024-07-07,14,14406,288,0,7,Sunday
2024-07-08,12,13272,284,0,7,Monday
2024-07-09,7,4795,282,0,7,Tuesday
2024-07-10,7,4823,279,0,7,Wednesday
2024-07-11,9,13419,275,0,7,Thursday
2024-07-12,9,11034,272,0,7,Friday
2024-07-13,11,7458,267,0,7,Saturday
2024-07-14,15,11985,260,0,7,Sunday
2024-07-15,11,14663,255,0,7,Monday
2024-07-16,11,13189,251,0,7,Tuesday
2024-07-17,7,4263,248,0,7,Wednesday
2024-07-18,7,10038,245,0,7,Thursday
2024-07-19,11,15444,241,0,7,Friday
2024-07-20,11,8899,237,0,7,Saturday
2024-07-21,15,8925,231,0,7,Sunday
2024-07-22,11,5929,226,0,7,Monday
2024-07-23,10,6510,221,0,7,Tuesday
2024-07-24,7,4095,218,0,7,Wednesday
2024-07-25,9,13005,214,0,7,Thursday
2024-07-26,7,3528,212,0,7,Friday
2024-07-27,11,15587,208,0,7,Saturday
2024-07-28,11,10934,204,0,7,Sunday
2024-07-29,9,8649,201,0,7,Monday
2024-07-30,9,8937,198,0,7,Tuesday
2024-07-31,11,8690,194,0,7,Wednesday
2024-08-01,7,3885,191,0,8,Thursday
2024-08-02,11,8833,186,0,8,Friday
2024-08-03,15,18120,179,0,8,Saturday
2024-08-04,12,17460,174,0,8,Sunday
2024-08-05,10,5920,169,0,8,Monday
2024-08-06,11,9911,164,0,8,Tuesday
2024-08-07,11,15983,160,0,8,Wednesday
2024-08-08,9,10593,157,0,8,Thursday
2024-08-09,7,6678,154,0,8,Friday
2024-08-10,13,10114,148,0,8,Saturday
2024-08-11,12,12948,144,0,8,Sunday
2024-08-12,12,14940,140,0,8,Monday
2024-08-13,8,11112,137,0,8,Tuesday
2024-08-14,10,7330,132,0,8,Wednesday
2024-08-15,8,4048,128,0,8,Thursday
2024-08-16,7,8260,125,0,8,Friday
2024-08-17,13,12311,120,0,8,Saturday
2024-08-18,15,15675,113,0,8,Sunday
2024-08-19,10,11150,108,0,8,Monday
2024-08-20,7,6202,106,0,8,Tuesday
2024-08-21,8,5848,103,0,8,Wednesday
2024-08-22,10,12670,599,0,8,Thursday
2024-08-23,11,5533,594,0,8,Friday
2024-08-24,14,20986,588,0,8,Saturday
2024-08-25,14,17878,583,0,8,Sunday
2024-08-26,11,13156,578,0,8,Monday
2024-08-27,7,5061,575,0,8,Tuesday
2024-08-28,7,9828,573,0,8,Wednesday
2024-08-29,9,12879,569,0,8,Thursday
2024-08-30,11,10373,564,0,8,Friday
2024-08-31,13,18070,558,0,8,Saturday
2024-09-01,9,13419,555,0,9,Sunday
2024-09-02,10,6430,551,0,9,Monday
2024-09-03,10,7530,547,0,9,Tuesday
2024-09-04,7,3752,545,0,9,Wednesday
2024-09-05,8,8800,542,0,9,Thursday
2024-09-06,7,7630,539,0,9,Friday
2024-09-07,10,8520,534,0,9,Saturday
2024-09-08,12,8040,529,0,9,Sunday
2024-09-09,9,9081,526,0,9,Monday
2024-09-10,9,4698,523,0,9,Tuesday
2024-09-11,10,12700,518,0,9,Wednesday
2024-09-12,7,7308,515,0,9,Thursday
2024-09-13,9,11709,512,0,9,Friday
2024-09-14,13,12116,507,0,9,Saturday
2024-09-15,9,8460,503,0,9,Sunday
2024-09-16,7,3717,500,0,9,Monday
2024-09-17,9,8901,496,0,9,Tuesday
2024-09-18,6,5664,493,0,9,Wednesday
2024-09-19,9,9765,490,0,9,Thursday
2024-09-20,6,6408,488,0,9,Friday
2024-09-21,12,16068,483,0,9,Saturday
2024-09-22,12,7584,478,0,9,Sunday
2024-09-23,7,8610,475,0,9,Monday
2024-09-24,7,7903,473,0,9,Tuesday
2024-09-25,8,6720,470,0,9,Wednesday
2024-09-26,6,8574,467,0,9,Thursday
2024-09-27,7,8477,464,0,9,Friday
2024-09-28,10,9230,459,0,9,Saturday
2024-09-29,11,8668,454,0,9,Sunday
2024-09-30,8,9464,450,0,9,Monday
2024-10-01,7,8561,447,0,10,Tuesday
2024-10-02,9,10953,443,0,10,Wednesday
2024-10-03,7,3521,440,0,10,Thursday
2024-10-04,7,5733,437,0,10,Friday
2024-10-05,13,11336,432,0,10,Saturday
2024-10-06,9,6876,428,0,10,Sunday
2024-10-07,9,5994,424,0,10,Monday
2024-10-08,10,12140,420,0,10,Tuesday
2024-10-09,9,5733,416,0,10,Wednesday
2024-10-10,9,5625,412,0,10,Thursday
2024-10-11,7,9163,409,0,10,Friday
2024-10-12,12,6696,404,0,10,Saturday
2024-10-13,12,14016,400,0,10,Sunday
2024-10-14,9,9702,397,0,10,Monday
2024-10-15,7,9863,394,0,10,Tuesday
2024-10-16,10,6630,390,0,10,Wednesday
2024-10-17,10,7440,385,0,10,Thursday
2024-10-18,7,7742,383,0,10,Friday
2024-10-19,11,13167,378,0,10,Saturday
2024-10-20,9,5193,375,0,10,Sunday
2024-10-21,7,10269,372,0,10,Monday
2024-10-22,7,6160,369,0,10,Tuesday
2024-10-23,9,12357,365,0,10,Wednesday
2024-10-24,8,8784,361,0,10,Thursday
2024-10-25,8,11904,358,0,10,Friday
2024-10-26,10,8110,353,0,10,Saturday
2024-10-27,11,9812,349,0,10,Sunday
2024-10-28,7,5656,346,0,10,Monday
2024-10-29,9,7695,342,0,10,Tuesday
2024-10-30,6,8472,339,0,10,Wednesday
2024-10-31,7,4634,337,0,10,Thursday
2024-11-01,2,2436,336,1,11,Friday
2024-11-02,1,1056,335,1,11,Saturday
2024-11-03,13,10296,329,0,11,Sunday
2024-11-04,9,8649,325,0,11,Monday
2024-11-05,9,6534,321,0,11,Tuesday
2024-11-06,7,5362,319,0,11,Wednesday
2024-11-07,7,9996,316,0,11,Thursday
2024-11-08,6,4122,314,0,11,Friday
2024-11-09,10,6120,309,0,11,Saturday
2024-11-10,12,17112,305,0,11,Sunday
2024-11-11,6,8100,302,0,11,Monday
2024-11-12,6,8166,299,0,11,Tuesday
2024-11-13,6,7992,297,0,11,Wednesday
2024-11-14,10,13820,292,0,11,Thursday
2024-11-15,9,7317,288,0,11,Friday
2024-11-16,9,12699,285,0,11,Saturday
2024-11-17,12,9600,280,0,11,Sunday
2024-11-18,9,8694,277,0,11,Monday
2024-11-19,7,8295,275,0,11,Tuesday
2024-11-20,9,9702,271,0,11,Wednesday
2024-11-21,8,6648,267,0,11,Thursday
2024-11-22,10,10490,262,0,11,Friday
2024-11-23,9,6570,258,0,11,Saturday
2024-11-24,12,11940,254,0,11,Sunday
2024-11-25,9,11646,250,0,11,Monday
2024-11-26,7,7714,248,0,11,Tuesday
2024-11-27,7,9485,245,0,11,Wednesday
2024-11-28,6,3954,242,0,11,Thursday
2024-11-29,9,12150,238,0,11,Friday
2024-11-30,10,10390,234,0,11,Saturday
2024-12-01,12,7572,230,0,12,Sunday
2024-12-02,8,10368,227,0,12,Monday
2024-12-03,9,10125,223,0,12,Tuesday
2024-12-04,8,5872,219,0,12,Wednesday
2024-12-05,11,5808,214,0,12,Thursday
2024-12-06,9,9072,210,0,12,Friday
2024-12-07,15,14550,203,0,12,Saturday
2024-12-08,14,17598,198,0,12,Sunday
2024-12-09,10,5210,194,0,12,Monday
2024-12-10,9,7695,191,0,12,Tuesday
2024-12-11,10,9550,186,0,12,Wednesday
2024-12-12,11,6600,181,0,12,Thursday
2024-12-13,7,4452,179,0,12,Friday
2024-12-14,13,18226,173,0,12,Saturday
2024-12-15,15,8010,166,0,12,Sunday
2024-12-16,9,13149,162,0,12,Monday
2024-12-17,9,12195,159,0,12,Tuesday
2024-12-18,7,9345,156,0,12,Wednesday
2024-12-19,10,8950,152,0,12,Thursday
2024-12-20,7,3689,150,0,12,Friday
2024-12-21,15,18390,143,0,12,Saturday
2024-12-22,15,17820,136,0,12,Sunday
2024-12-23,11,9856,131,0,12,Monday
2024-12-24,0,0,130,1,12,Tuesday
2024-12-25,1,1375,130,1,12,Wednesday
2024-12-26,11,9130,125,0,12,Thursday
2024-12-27,11,7865,121,0,12,Friday
2024-12-28,15,14790,115,0,12,Saturday
2024-12-29,11,13365,110,0,12,Sunday
2024-12-30,2,1562,110,1,12,Monday
2024-12-31,0,0,110,1,12,Tuesday
2025-01-01,1,574,109,1,1,Wednesday
2025-01-02,7,3556,107,0,1,Thursday
2025-01-03,7,3885,105,0,1,Friday
2025-01-04,10,8270,101,0,1,Saturday
2025-01-05,13,14105,595,0,1,Sunday
2025-01-06,6,3486,592,0,1,Monday
2025-01-07,6,8178,590,0,1,Tuesday
2025-01-08,6,3678,587,0,1,Wednesday
2025-01-09,6,6270,584,0,1,Thursday
2025-01-10,9,12285,580,0,1,Friday
2025-01-11,10,5090,575,0,1,Saturday
2025-01-12,10,13460,570,0,1,Sunday
2025-01-13,10,11860,566,0,1,Monday
2025-01-14,6,5742,563,0,1,Tuesday
2025-01-15,9,9441,559,0,1,Wednesday
2025-01-16,6,3804,556,0,1,Thursday
2025-01-17,6,4152,554,0,1,Friday
2025-01-18,13,17108,549,0,1,Saturday
2025-01-19,10,12980,544,0,1,Sunday
2025-01-20,9,7596,540,0,1,Monday
2025-01-21,10,12000,535,0,1,Tuesday
2025-01-22,7,10066,532,0,1,Wednesday
2025-01-23,8,9784,528,0,1,Thursday
2025-01-24,9,5256,524,0,1,Friday
2025-01-25,10,9210,519,0,1,Saturday
2025-01-26,10,10180,514,0,1,Sunday
2025-01-27,10,14950,510,0,1,Monday
2025-01-28,9,12933,506,0,1,Tuesday
2025-01-29,9,13437,503,0,1,Wednesday
2025-01-30,9,10215,500,0,1,Thursday
2025-01-31,6,8130,498,0,1,Friday
2025-02-01,13,14105,492,0,2,Saturday
2025-02-02,12,6420,487,0,2,Sunday
2025-02-03,10,10660,482,0,2,Monday
2025-02-04,8,9608,478,0,2,Tuesday
2025-02-05,10,5750,474,0,2,Wednesday
2025-02-06,8,5272,471,0,2,Thursday
2025-02-07,9,12456,468,0,2,Friday
2025-02-08,12,10068,463,0,2,Saturday
2025-02-09,13,14222,457,0,2,Sunday
2025-02-10,7,4074,454,0,2,Monday
2025-02-11,9,7803,450,0,2,Tuesday
2025-02-12,10,5440,445,0,2,Wednesday
2025-02-13,10,10510,440,0,2,Thursday
2025-02-14,9,6714,437,0,2,Friday
2025-02-15,11,15433,433,0,2,Saturday
2025-02-16,10,14220,429,0,2,Sunday
2025-02-17,9,5976,426,0,2,Monday
2025-02-18,7,5404,423,0,2,Tuesday
2025-02-19,10,13970,419,0,2,Wednesday
2025-02-20,8,11352,416,0,2,Thursday
2025-02-21,6,8988,414,0,2,Friday
2025-02-22,10,8620,410,0,2,Saturday
2025-02-23,12,16632,405,0,2,Sunday
2025-02-24,6,5706,403,0,2,Monday
2025-02-25,8,4376,400,0,2,Tuesday
2025-02-26,9,6129,397,0,2,Wednesday
2025-02-27,7,8575,394,0,2,Thursday
2025-02-28,9,12393,390,0,2,Friday
2025-03-01,14,16996,384,0,3,Saturday
2025-03-02,14,17962,379,0,3,Sunday
2025-03-03,9,5787,375,0,3,Monday
2025-03-04,6,4800,373,0,3,Tuesday
2025-03-05,6,6096,371,0,3,Wednesday
2025-03-06,10,14340,366,0,3,Thursday
2025-03-07,8,6008,362,0,3,Friday
2025-03-08,11,12551,357,0,3,Saturday
2025-03-09,13,18317,352,0,3,Sunday
2025-03-10,10,6500,347,0,3,Monday
2025-03-11,9,13014,344,0,3,Tuesday
2025-03-12,8,6848,341,0,3,Wednesday
2025-03-13,8,7688,338,0,3,Thursday
2025-03-14,7,3633,336,0,3,Friday
2025-03-15,12,10896,331,0,3,Saturday
2025-03-16,13,8437,326,0,3,Sunday
2025-03-17,11,11924,321,0,3,Monday
2025-03-18,7,6944,319,0,3,Tuesday
2025-03-19,6,8058,317,0,3,Wednesday
2025-03-20,6,4842,314,0,3,Thursday
2025-03-21,9,5427,310,0,3,Friday
2025-03-22,10,9770,305,0,3,Saturday
2025-03-23,12,8940,300,0,3,Sunday
2025-03-24,8,10296,297,0,3,Monday
2025-03-25,10,6260,293,0,3,Tuesday
2025-03-26,7,8155,290,0,3,Wednesday
2025-03-27,6,5676,287,0,3,Thursday
2025-03-28,9,5346,284,0,3,Friday
2025-03-29,11,15125,280,0,3,Saturday
2025-03-30,12,9696,276,0,3,Sunday
2025-03-31,10,6410,271,0,3,Monday
2025-04-01,6,4572,269,0,4,Tuesday
2025-04-02,8,6400,265,0,4,Wednesday
2025-04-03,10,8250,260,0,4,Thursday
2025-04-04,9,10314,257,0,4,Friday
2025-04-05,11,13354,253,0,4,Saturday
2025-04-06,10,12240,248,0,4,Sunday
2025-04-07,7,7133,246,0,4,Monday
2025-04-08,8,8312,242,0,4,Tuesday
2025-04-09,7,6111,240,0,4,Wednesday
2025-04-10,3,4428,239,1,4,Thursday
2025-04-11,4,5288,238,1,4,Friday
2025-04-12,2,1262,238,1,4,Saturday
2025-04-13,3,3006,236,1,4,Sunday
2025-04-14,4,4812,235,1,4,Monday
2025-04-15,2,2036,235,1,4,Tuesday
2025-04-16,5,2610,233,1,4,Wednesday
2025-04-17,1,1178,233,1,4,Thursday
2025-04-18,6,4626,231,0,4,Friday
2025-04-19,14,7014,226,0,4,Saturday
2025-04-20,10,8590,222,0,4,Sunday
2025-04-21,8,5752,218,0,4,Monday
2025-04-22,10,14090,214,0,4,Tuesday
2025-04-23,6,6120,211,0,4,Wednesday
2025-04-24,6,8046,208,0,4,Thursday
2025-04-25,10,10420,204,0,4,Friday
2025-04-26,11,13343,199,0,4,Saturday
2025-04-27,10,5520,194,0,4,Sunday
2025-04-28,11,6094,190,0,4,Monday
2025-04-29,7,8344,187,0,4,Tuesday
2025-04-30,9,8406,183,0,4,Wednesday
2025-05-01,8,4448,179,0,5,Thursday
2025-05-02,7,5516,177,0,5,Friday
2025-05-03,12,10356,173,0,5,Saturday
2025-05-04,10,13100,169,0,5,Sunday
2025-05-05,10,5400,165,0,5,Monday
2025-05-06,8,7928,162,0,5,Tuesday
2025-05-07,9,4572,159,0,5,Wednesday
2025-05-08,6,6798,156,0,5,Thursday
2025-05-09,10,6910,151,0,5,Friday
2025-05-10,13,17927,146,0,5,Saturday
2025-05-11,11,5621,142,0,5,Sunday
2025-05-12,9,12591,138,0,5,Monday
2025-05-13,7,4690,135,0,5,Tuesday
2025-05-14,6,7116,133,0,5,Wednesday
2025-05-15,7,8463,131,0,5,Thursday
2025-05-16,6,6792,128,0,5,Friday
2025-05-17,10,6020,123,0,5,Saturday
2025-05-18,14,12334,117,0,5,Sunday
2025-05-19,10,13880,112,0,5,Monday
2025-05-20,6,6306,109,0,5,Tuesday
2025-05-21,6,6762,107,0,5,Wednesday
2025-05-22,8,10712,104,0,5,Thursday
2025-05-23,8,8336,101,0,5,Friday
2025-05-24,10,10860,597,0,5,Saturday
2025-05-25,14,14098,592,0,5,Sunday
2025-05-26,10,13680,588,0,5,Monday
2025-05-27,8,6144,585,0,5,Tuesday
2025-05-28,8,7800,581,0,5,Wednesday
2025-05-29,9,10917,577,0,5,Thursday
2025-05-30,6,3408,575,0,5,Friday
2025-05-31,14,9618,569,0,5,Saturday
2025-06-01,15,20265,562,0,6,Sunday
2025-06-02,10,6570,558,0,6,Monday
2025-06-03,8,5712,555,0,6,Tuesday
2025-06-04,7,5159,552,0,6,Wednesday
2025-06-05,8,11568,548,0,6,Thursday
2025-06-06,9,5202,545,0,6,Friday
2025-06-07,14,17892,539,0,6,Saturday
2025-06-08,15,12540,533,0,6,Sunday
2025-06-09,10,10180,529,0,6,Monday
2025-06-10,11,6556,524,0,6,Tuesday
2025-06-11,8,4736,520,0,6,Wednesday
2025-06-12,7,6923,518,0,6,Thursday
2025-06-13,7,6153,515,0,6,Friday
2025-06-14,11,13310,511,0,6,Saturday
2025-06-15,13,10621,505,0,6,Sunday
2025-06-16,12,7080,501,0,6,Monday
2025-06-17,9,10935,498,0,6,Tuesday
2025-06-18,9,12987,494,0,6,Wednesday
2025-06-19,7,3703,492,0,6,Thursday
2025-06-20,7,4235,489,0,6,Friday
2025-06-21,12,14472,485,0,6,Saturday
2025-06-22,12,17952,480,0,6,Sunday
2025-06-23,10,12120,476,0,6,Monday
2025-06-24,8,9480,472,0,6,Tuesday
2025-06-25,7,7700,470,0,6,Wednesday
2025-06-26,10,8440,466,0,6,Thursday
2025-06-27,11,6501,462,0,6,Friday
2025-06-28,15,14415,456,0,6,Saturday
2025-06-29,14,11746,451,0,6,Sunday
2025-06-30,10,12990,446,0,6,Monday
2025-07-01,9,5742,443,0,7,Tuesday
2025-07-02,7,6608,440,0,7,Wednesday
2025-07-03,8,5592,436,0,7,Thursday
2025-07-04,10,13920,431,0,7,Friday
2025-07-05,12,16416,427,0,7,Saturday
2025-07-06,15,22305,421,0,7,Sunday
2025-07-07,9,12411,418,0,7,Monday
2025-07-08,8,10224,415,0,7,Tuesday
2025-07-09,7,5208,413,0,7,Wednesday
2025-07-10,7,7623,411,0,7,Thursday
2025-07-11,9,11493,407,0,7,Friday
2025-07-12,12,11268,402,0,7,Saturday
2025-07-13,15,8130,395,0,7,Sunday
2025-07-14,10,11240,391,0,7,Monday
2025-07-15,11,9064,386,0,7,Tuesday
2025-07-16,8,5872,383,0,7,Wednesday
2025-07-17,8,8424,379,0,7,Thursday
2025-07-18,8,8592,376,0,7,Friday
2025-07-19,13,14183,370,0,7,Saturday
2025-07-20,12,15216,365,0,7,Sunday
2025-07-21,11,5775,361,0,7,Monday
2025-07-22,7,10346,358,0,7,Tuesday
2025-07-23,9,13248,355,0,7,Wednesday
2025-07-24,8,6768,351,0,7,Thursday
2025-07-25,9,7380,348,0,7,Friday
2025-07-26,14,13748,342,0,7,Saturday
2025-07-27,12,7368,338,0,7,Sunday
2025-07-28,9,9918,334,0,7,Monday
2025-07-29,10,12160,329,0,7,Tuesday
2025-07-30,9,8235,325,0,7,Wednesday
2025-07-31,11,9735,321,0,7,Thursday
2025-08-01,7,9653,318,0,8,Friday
2025-08-02,13,16484,312,0,8,Saturday
2025-08-03,15,9795,305,0,8,Sunday
2025-08-04,9,7020,302,0,8,Monday
2025-08-05,8,10904,298,0,8,Tuesday
2025-08-06,8,11928,295,0,8,Wednesday
2025-08-07,9,9882,291,0,8,Thursday
2025-08-08,7,10451,289,0,8,Friday
2025-08-09,12,9192,284,0,8,Saturday
2025-08-10,13,13598,279,0,8,Sunday
2025-08-11,12,17304,274,0,8,Monday
2025-08-12,7,4466,272,0,8,Tuesday
2025-08-13,7,9037,269,0,8,Wednesday
2025-08-14,10,13710,264,0,8,Thursday
2025-08-15,9,9423,261,0,8,Friday
2025-08-16,13,14586,255,0,8,Saturday
2025-08-17,12,15900,251,0,8,Sunday
2025-08-18,9,6921,248,0,8,Monday
2025-08-19,8,8248,244,0,8,Tuesday
2025-08-20,8,11352,240,0,8,Wednesday
2025-08-21,7,6888,237,0,8,Thursday
2025-08-22,8,4056,234,0,8,Friday
2025-08-23,13,10725,229,0,8,Saturday
2025-08-24,15,17265,223,0,8,Sunday
2025-08-25,12,14472,219,0,8,Monday
2025-08-26,10,9320,214,0,8,Tuesday
2025-08-27,10,7880,209,0,8,Wednesday
2025-08-28,8,8976,205,0,8,Thursday
